0,5
0,6
0,8
0,9
0,11
0,16
0,19
0,37
0,46
0,47
1,5
1,27
1,32
1,33
1,42
1,46
2,5
2,6
2,7
2,8
2,10
2,15
2,21
2,22
2,25
2,26
2,30
2,32
2,34
2,38
3,5
3,6
3,7
3,30
4,5
4,6
4,7
4,8
4,10
4,11
4,12
4,13
4,25
4,26
4,29
4,34
4,41
5,6
5,7
5,8
5,9
5,11
5,12
5,14
5,15
5,18
5,20
5,25
5,31
5,34
5,36
5,38
5,41
6,7
6,8
6,9
6,10
6,11
6,12
6,13
6,15
6,16
6,17
6,18
6,22
6,23
6,24
6,27
6,28
6,31
6,37
6,47
7,9
7,10
7,11
7,14
7,17
7,19
7,21
7,23
7,27
7,28
7,31
7,37
7,43
7,45
7,49
8,9
8,13
8,14
8,16
8,17
8,21
8,28
8,34
8,37
8,38
8,39
8,43
8,44
8,45
9,10
9,12
9,14
9,19
9,22
9,49
10,12
10,14
10,15
10,20
10,31
11,13
11,18
11,21
11,24
11,27
11,30
11,37
11,43
11,44
11,45
11,46
12,13
12,17
12,20
12,22
12,24
12,25
12,28
12,32
12,39
13,16
13,19
13,26
13,29
13,44
14,15
14,16
14,20
14,22
14,42
14,46
14,49
15,18
15,24
15,40
15,42
15,43
15,45
15,48
16,17
16,18
16,19
16,20
16,23
16,30
16,33
16,35
16,40
16,47
17,21
17,35
18,23
18,27
18,32
18,35
18,41
18,49
19,28
19,36
20,29
20,33
20,36
21,26
21,35
21,36
21,39
21,47
21,48
22,23
22,24
22,25
22,34
23,26
23,29
23,39
23,40
23,42
23,49
24,29
24,32
24,40
24,46
25,30
25,45
27,38
27,39
27,40
28,36
28,41
29,33
29,35
30,31
30,42
31,33
31,38
32,47
34,48
35,43
37,41
42,44
42,48
43,44
46,48
