0	32
0	35
0	4
0	37
0	38
0	6
0	8
0	11
0	43
0	12
0	14
0	46
0	16
0	47
0	22
0	26
0	30
0	31
1	2
1	7
1	8
1	12
1	16
1	25
1	26
1	27
1	28
1	32
1	33
1	34
1	35
1	36
1	38
1	39
1	40
1	48
1	49
2	3
2	37
2	9
2	42
2	43
2	44
2	13
2	14
2	48
2	18
2	19
2	27
3	4
3	6
3	7
3	38
3	9
3	11
3	12
3	45
3	17
3	19
3	21
3	23
3	24
3	26
3	30
4	33
4	37
4	39
4	40
4	41
4	42
4	13
4	20
4	24
4	29
5	35
5	37
5	7
5	9
5	10
5	11
5	12
5	13
5	41
5	42
5	45
5	48
5	49
5	17
5	31
6	39
6	9
6	42
6	44
6	45
6	20
6	29
7	38
7	15
7	18
7	20
7	22
7	24
8	33
8	34
8	42
8	15
8	21
8	27
8	29
9	36
9	46
9	15
9	16
10	32
10	33
10	38
10	39
10	14
10	18
10	19
10	21
10	22
10	24
10	27
10	28
10	29
10	30
11	33
11	39
11	18
11	24
11	28
12	44
12	46
12	18
12	19
12	21
12	24
13	34
13	16
13	49
13	23
13	24
13	25
13	30
14	40
14	41
14	42
14	44
14	49
14	25
14	26
15	35
15	40
15	45
15	48
15	17
15	49
15	25
15	30
15	31
16	32
16	40
16	42
16	17
16	20
16	21
17	44
17	18
17	19
17	24
17	29
18	39
18	42
18	43
18	44
18	23
18	26
19	34
19	35
19	37
19	40
19	42
19	47
19	48
19	49
19	21
19	25
19	26
19	31
20	34
20	36
20	41
20	49
20	23
20	25
20	28
21	40
21	41
21	42
21	43
21	28
22	36
22	40
22	41
22	44
22	45
22	49
23	33
23	37
23	39
23	40
23	25
24	46
24	43
24	31
25	47
25	46
25	27
26	45
26	48
26	29
27	45
27	29
28	35
28	44
28	45
28	46
29	34
29	35
29	36
29	49
29	31
30	36
30	41
31	32
31	34
31	36
31	39
32	35
32	41
32	43
32	45
32	49
33	43
33	47
34	37
34	44
34	46
34	45
35	44
36	37
36	42
36	47
39	46
39	47
41	46
41	48
43	44
43	45
43	49
44	47
45	49
